term,definition
"_model._confirmDeleteButton","The  button is empty now, do you want to delete it?"
"_model._deleteFlowFromList","Please select the process from which the '' status needs to be removed"
"_model._updateRefData","Found below modules using the data. Do you want to update all of them 

(from  to )?"
"_model._stdStatus.start","Start"
"_model._stdStatus.created","Create"
"_model._stdStatus.deleted","Delete"
"_model._stdStatus.disabled","Disable"
"_model._stdStatus.trash","Trash"
"_model._operation.add","Create"
"_model._operation.edit","Update"
"_model._operation.delete","Delete"
"_model._tabType._workflow","Workflow"
"_model._tabType._summary","Summary"
"_model._tabType._panel","Panel/Page"
"_model._panelType.home","Home Page"
"_model._panelType._mainModulePanel","Main Module Panel"
"_model._panelType.modulePanel","Module Panel"
"_model._panelType.dataPanel","Data Panel"
"_model._panelType.list","Data List"
"_model._panelType.table","Data Table"
"_model._panelType.form","Form"
"_model._enter._title","Enter Point"
"_model._enter._options.enterModule","Module Entry"
"_model._enter._options.enterDetails","Details Entry"
"_model._table._title","Table"
"_model._table._options.table","Data Table"
"_model._table._options.list","Data List"
"_model._panel._title","Panel"
"_model._panel._options.innerPanel","Inner Panel"
"_model._panel._options.curPanel","Current Panel"
"_model._panel._options.table","Data Table"
"_model._panel._options.list","Data List"
"_model._panel._options.form","Form"
"_model._panel._setting","Panel Setting"
"_model._button._title","Button"
"_model._button._buttonSetting","Button Setting"
"_model._button._launchForm","Launch Form"
"_model._button._gotoPanel","Final panel"
"_model._module._title","Module"
"_model._module._options.modulesub","Sub-Module"
"_model._module._options.module","Related Module"
"_model._module._options.parentModule","Parent Module"
"_model._module._options.beRefModule","Referenced by Module"
"_model._page._title","Link"
"_model._page._options.page","Web Page"
"_model._page._options.download","Download"
"_model._field._title","Field"
"_model._field._options.viewData","View data"
"_model._field._options.outerField","Foreign Field"
"_model._field._options.dataType","Module Data Type"
"_model._subField","Sub-Field"
"_model._trigger._title","Trigger Form"
"_model._trigger._options.submit","Submit"
"_model._trigger._options.next","Next"
"_model._trigger._options.close","Close/Cancel"
"_model._trigger._options.confirm","Confirm"
"_model._trigger._options.outopr","Outer Module Operation"
"_model._trigger._options.insert","Add a new row button to data table"
"_model._trigger._options.ex-insert","Add form data to data-table button (non-save)"
"_model._trigger._options.form-tab","Form Tab"
"_model._wordType.data","Data(Current Module)"
"_model._wordType.app","APP Text"
"_model._dependenceValueOptions.","empty/false/null"
"_model._dependenceValueOptions.on","true/not null"
"_model._dependenceValueOptions.undefined","undefined"
"_model._api.name","Name"
"_model._api.method","Method"
"_model._api.contentType","Content Type"
"_model._api.url","Url"
"_model._api.headers","Headers"
"_model._api.query","Query"
"_model._api.data","Body"
"_model._api.responseScript","Response Script"
"_model._api.auth","Authorization"
"_model._api.asStdFun._title","As a standard operation on module data"
"_model._api.asStdFun.GET","Initial data function"
"_model._api.asStdFun.POST","Standard add function"
"_model._api.asStdFun.DELETE","Standard delete function"
"_module._general._title","General"
"_module._general._missingRootURL","Please set the module APP URL!"
"_module._general._defaultHost","App root url"
"_module._general._startPanel","Start method"
"_module._general._defaultAuth","Default Role"
"_module._general._moduleLink","Module Link"
"_module._general._linkageModule","Auth Link module"
"_module._general._refKeys","Reference setting"
"_module._general._pickElementDesc","Pick element from App page and add the elements into the current panel/page."
"_module._modules._title","Modules"
"_module._modules._testCount","Tests"
"_module._modules._newModuleDesc","The project modules should reflect the logical entities of the application under test, to help you keep an object-oriented test approach.

For a project management application, you'll find modules like "Authentication", "Projects", and "Tasks"."
"_module._modules._newFeatureDesc","Features are containers that contain one or many Cucumber scenarios. A feature in Boozang simply plugs a number of scenarios, not unlike a test suite.

Feature examples: "Manage Projects", "Manage Tasks", or "Authentication"."
"_module._moduleAndTest._title","Tests & Sub-modules"
"_module._moduleGUI._title","Module Flow Diagram"
"_module._tests._title","Test case list"
"_module._tests._actionCount","Actions"
"_module._tests._bugDesc","Bugs represent visual bugs. Usually they are comprised by a series of clicks and comments (in-browser annotations)."
"_module._tests._comDesc","Components could be reference from any test case, the difference with other test case type is it not report details in test report. And, it could be execute as one action."
"_module._tests._testDesc","Tests are a collection of actions that fulfills a certain task. A test can reference any number of other tests. For re-use, it's better to combine small tests with specific purposes, than having a single long test.

Examples of tests: CRUD tests, like "Create project" or "Delete project", or validation tests, like "Validate project data"."
"_module._tests._ctrlDesc","The control test case automatically invokes the corresponding test case according to the specified data attributes, and prepares the preliminary conditions for the execution purpose of the test case."
"_module._tests._validDesc","The verification test case is used to verify the result of a certain test."
"_module._tests._apiDesc","API test includes a set of api actions. It can be a standard API Test, or can work with UI actions to complete some complex tasks. 

For example: user can use UI sign-in and retrieve authorization token from one request, and use the token in following API tests."
"_module._tests._suiteDesc","A test suite defines a group of test cases to be run in a certain order.

Examples "Smoke Tests" or "Customer Onboarding A"."
"_module._tests._workflowDesc","The business requirement in Gherkin syntax consists of three parts.
Given(pre-conditions), When (do something) and Then (validations/post-conditions).

Scenario outline example:

Given An empty cart. 
When a  is added to cart. 
Then The cart total should be 

Examples:

  | product | price |
  | banana | 1.50 |"
"_module._data._title","Module Data"
"_module._field._title","Fields"
"_module._type.._text","Blank Module"
"_module._type.._desc","On Blank Module, user control everything, and missing some AI features"
"_module._type.auth._text","Authorization"
"_module._type.auth._desc","If the application requires login, a wizard will be launched to create the authorization module. It will include standard sign-in and sign-out test cases. 
This will allow for automated user switching for test steps that needs to be executed as a certain user role."
"_module._type.data._text","AI Model"
"_module._type.data._desc","The AI Model allows a user to map out the module data using a page mapper. The user typically maps out CRUD operations, such as create, delete and update. After doing this, the user can construct tests using the workflow engine. 
The AI model can have relationships with other modules."
"_module._type.account._text","My Account Module"
"_module._type.account._desc","My account Module handles the current sign-in user personal info"
"_module._type.setting._text","Setting Module"
"_module._type.setting._desc","Setting Module handles the APP global parameter setting"
"_module._type.tools._text","Tools Module"
"_module._type.tools._desc","Tools Module supports batch operation"
"_module._type.summary._text","Control Module"
"_module._type.summary._name","Summary"
"_module._type.summary._desc","The Control Module will auto-generate a test suite that will trigger all scenarios in each AI Model"
"_module._sortby.codeA","ID (ascending)"
"_module._sortby.codeZ","ID (descending)"
"_module._sortby.nameA","Name (a-z)"
"_module._sortby.nameZ","Name (z-a)"
"_module._sortby.updateStampA","Last Updated (oldest first)"
"_module._sortby.updateStampZ","Last Updated (newest first)"
"_module._sortby.sizeA","Size (ascending)"
"_module._sortby.sizeZ","Size (descending)"
"_module._contentElement","Content Element"
"_module._webPage","Web page link"
"_module._relatedModules","Related Modules"
"_module._words","Words"
"_module._parent","Parent Module"
"_module._moduleLink","Module Path"
"_module._batchAddPrefixModuleName","Do you want to add prefix name, , on the below modules name"
"_module._batchRemovePrefixModuleName","Do you want to remove prefix name, , from the below modules name"
"_module._newModuleName","New Module Name"
"_module._newModuleAlias","New Module Alias"
"_module._newModuleAliasDesc","Alias is for data-bind"
"_module._newModuleFields","New Module Fields"
"_module._newModuleFieldsDesc","The first is the key field, separated by commas. For example: id,name"
"_module._modulesArea","Please select Modules Area from APP page"
"_module._batchCreateDesc","Create multiple Modules"
"_module._whatType","Please click which Module type to you want to create"
"_module._batchUpdateTestName","Do you want to base on new module name to update the name of all test cases at below?"
"_module._subModule","Sub-modules"
"_module._curModule","Current Module"
"_module._addTag","Add tags"
"_module._noTag","No tags set"
"_module._existData","Edit module data"
"_module._noExistData","Add module data"
"_module._setComment","Add description"
"_module._workflow._title","Workflow"
"_module._workflow._list","Flow List"
"_module._workflow._type.role","Role"
"_module._workflow._type.test","Test Case"
"_module._workflow._switchRole","Switch to role:"
"_module._workflow._runTest","Execute："
"_module._workflow._runTestWithParameter","Execute  with parameter"
"_module._workflow._runTestWithValue","Execute  (Parameter: )"
"_setting._title","Settings"
"_setting._defaultSettings","Default Settings"
"_setting._changeBehaviorInTestSetting","You can change the method in test case setting"
"_setting._userTmpData","Use temporary data"
"_setting._asCIVersion","Executable CI version"
"_setting._changeProjectLanguage","This change changes how items are recognized and resets content generation settings. 

Are you sure you want to make this change?"
"_setting._useTmpDataOptions.","Ask to use temporary"
"_setting._useTmpDataOptions.yes","Auto-use temporary data"
"_setting._useTmpDataOptions.no","Not use temporary data"
"_setting._tableStyle._title","Module/Test List style"
"_setting._tableStyle._options.large","Standard rows"
"_setting._tableStyle._options.middle","Compressed rows"
"_setting._tableStyle._options.small","Minimum rows"
"_setting._actionStyle._title","Action list style"
"_setting._actionStyle._options.icontext","Show action type using text and icon"
"_setting._actionStyle._options.icon","Show action type using icon only"
"_setting._actionStyle._options.text","Show action type using text"
"_setting._contentPolice._title","Content Policy"
"_setting._contentPolice._description","Advanced content policy settings. Use this to customize Boozang for your specific application needs."
"_setting._contentPolice._ignore","Ignore Classes for element selection"
"_setting._contentPolice._ignorePopValidation","Ignore validation on pop window"
"_setting._contentPolice._contentAttribute","Text Attribute"
"_setting._contentPolice._appDictionary","APP Dictionary"
"_setting._contentPolice._clickableElements","Clickable Elements"
"_setting._contentPolice._loadingElement","Identify loading status"
"_setting._contentPolice._crashElement","Element selector(s) to identify critical errors"
"_setting._contentPolice._hideDataName","Hidden data name"
"_setting._contentPolice._priorityElementItems","Priority classes for element selection"
"_setting._contentPolice._monitorRequest","Monitor Request (URL)"
"_setting._contentPolice._whiteRequests","White List"
"_setting._contentPolice._blackRequests","Black List"
"_setting._contentPolice._autoSetDirty","Auto set dirty mark on typing"
"_setting._contentPolice._dirtyExample","Dirty class like: .dirty, dirty attr like: dirty"
"_setting._contentPolice._defFailResponse","Default Response on Action Failed"
"_setting._contentPolice._filters","Filter Policy"
"_setting._contentPolice._contentId","Data"
"_setting._contentPolice._contentDate","Date"
"_setting._contentPolice._contentTime","Time"
"_setting._contentPolice._hiddenAsUnExist","Treat hidden elements as not existing by default"
"_setting._contentPolice._disableAutoOneAction","Disable batch action execution (increases test execution time)"
"_setting._contentPolice._aiControlAction","Wait on API requests to complete for each action"
"_setting._contentPolice._aiControlActionRetry","Enable smart retry on element missing"
"_setting._contentPolice._completeActionOnRender","Action waits until page render is completed"
"_setting._contentPolice._ignoreRenderElement","Ignore Render Element"
"_setting._contentPolice._ignoreRenderElementDesc","The purpose of setting "Ignored Render Elements" is to ignore detecting certain elements that undergo continuous changes over time, thus avoiding slowing down the test or preventing the test from completing."
"_setting._contentPoliceHelp._monitorRequest","The purpose of specifying ignore requests is 
to avoid certain non-core data requests 
that cause long waits during testing."
"_setting._contentPoliceHelp._ignoreRenderElement","The purpose of setting "Ignored Render Elements" is 
to ignore detecting certain elements 
that undergo continuous changes over time, 
thus avoiding slowing down the test or preventing the test from completing."
"_setting._contentPoliceHelp._ignore","List of classes that should be ignored in the element selection. 

Wildcard character (*) is supported."
"_setting._contentPoliceHelp._priorityElementItems","List of classes that should be prioritized when selecting elements. 

Wildcard character (*) is supported."
"_setting._contentPoliceHelp._contentAttribute","Attributes used for text representation, 
used in a similar fashion to title."
"_setting._contentPoliceHelp._clickableElements","To specify what's kind of element is clickable. 

The default is: A, Button"
"_setting._contentPoliceHelp._loadingElement","Identify that the page is still loading using element CSS or scripts. 

If a loading element is matched, 
Boozang will automatically wait for it to disappear.

Ideal to set if the application has a loading spinner."
"_setting._contentPoliceHelp._crashElement","Element selectors to identify when the application encounters a critical error, such as an modal window with an error message. 

If the element selector matches, 
the current action execution will fail."
"_setting._contentGeneration._title","Content Generation"
"_setting._contentGeneration._description","You can define regular expressions in the content generation settings to generate data and set the Cucumber syntax for auto-generated tests."
"_setting._contentGeneration._help._ergodic","Ergodic data is used to automate form fill tests."
"_setting._contentGeneration._help._attributeContent","A list of regular expressions used for data matching and data generation.

 Use /BZ-RegexpName/ to generate data based on the expression,
 and use //BZ-RegexpName// for validations."
"_setting._contentGeneration._help._sentences","Used to auto-generate readable Cucumber tests 
inside the AI model."
"_setting._contentGeneration._help._dateFormat","Date format for date generation and identification."
"_setting._environment._title","Environment"
"_setting._environment._name","Name (ex. development, qa, staging)"
"_setting._environment._solution","Environment"
"_setting._environment._curEnvironment","Current Environment"
"_setting._environment._enableAuthSetting","Enable AI authorization"
"_setting._environment._mappingAIFlag","Build AI Modeling"
"_setting._environment._authSetting","Authorization Settings"
"_setting._environment._enableAuth","Enable AI Authorization (Sign-in / Sign-out)"
"_setting._environment._benefitAuth","Note: After enabling AI Authorization, you will get the below benefits:

1. The tool will assist in generating a set of Authorization test cases. Like: Sign-in, Sign-in API, Sign-out, Sign-out API, Retrieve API Token and Check all test cases suite. 
2. Auto generate 'Sign-in status to ' test case, which switches role based on the parameter sent
3. Through Retrieve API Token test case, the tool can retrieve realtime token for api test request, and merge the token data into API Request headers automatically."
"_setting._environment._missingHostError","Each App URL is required"
"_setting._environment._missingNameError","Each App name is required"
"_setting._environment._dataURL","API Root"
"_setting._environment._auth","Authentication"
"_setting._environment._host","Domain"
"_setting._environment._shareOptions","Share Options in different hosts"
"_setting._environment._defaultRoot","Domain"
"_setting._environment._noHostError","Domain is required!"
"_setting._environment._minSolutionLimitation","At least one environment is needed"
"_setting._environment._appUrl","Application URL"
"_setting._environment._openMethod","Open/Refresh Method"
"_setting._environment._open","Load window"
"_setting._environment._href","Set URL"
"_setting._environment._appName","APP Name"
"_setting._environment._addUrl","Add additional application URLs"
"_setting._environment._description","Boozang supports multiple environments (ex: default, staging and production) and different application interfaces (ex: mgmt, storefront)."
"_setting._environment._errHostFormat","One APP URL format is not correct. The correct format is: http://xxx or https://xxx"
"_setting._preferences._title","Preferences"
"_setting._preferences._reportDetails","Output all actions report"
"_setting._preferences._completeTime","Complete time"
"_setting._preferences._waitTime","Waiting time"
"_setting._preferences._ignorePoorPerformance","Ignore performance issue"
"_setting._preferences._asFailOnPerformance","Report slow actions as fail"
"_setting._preferences._asWarningOnPerformance","Report slow actions as warning"
"_setting._preferences._popWindowStyle","Pop Window Style"
"_setting._preferences._autoSize","Adaptive window size"
"_setting._preferences._popSizeOptions","Popup App window size options"
"_setting._preferences._sizeFormat","Format: %, width, width x height"
"_setting._preferences._customizeSize","Customize size"
"_setting._preferences._performanceReminder","Report slow action threshold (ms)"
"_setting._preferences._maxRequestTime","Max wait for pending requests"
"_setting._preferences._loadPageTime","Max wait for loading page"
"_setting._preferences._apiProxy","API Proxy"
"_setting._preferences._apiProxyDesc","It is for the testing api doesn't support cross-domain"
"_setting._preferences._expectReactionTime","Default action timeout (ms)"
"_setting._preferences._stepDelay","Default interval time between steps (ms) (ms)"
"_setting._preferences._description","User preferences. Environment-specific settings can be found under the environment tab.Settings will only apply to your user. Other users will be unaffected by this change."
"_setting._preferences._autoDataBind","Auto data bind"
"_setting._preferences._disableShadowRootRecording","Disable recording on shadow-root element"
"_setting._preferences._autoMergeToSetValue","Auto-merge dropdown click actions to single set action"
"_setting._preferences._ignoreAlertLoadFileError","Disable alerts for Load File Errors"
"_setting._preferences._noAlertAIRepire","Disable alerts for AI Repair (on test execution error)"
"_setting._preferences._noAutoFocus","Disable auto focus (NOTE: Some input action need auto focus to avoid execution fail)"
"_setting._preferences._acceptMonitor","Accept to be monitored"
"_setting._preferences._debugOneAction","Click to disable rapid action execution on playback"
"_setting._preferences._switchToOneAction","Click to enable rapid action execution on playback"
"_setting._preferences._speakOnRecording","Audio-assisted recording"
"_setting._preferences._infoRunningTest","Display action info on running or recording"
"_setting._preferences._outputActionReport","Display action details in report"
"_setting._preferences._cooperator","As Cooperation Server"
"_setting._preferences._reqCooperator","Require cooperation test"
"_setting._preferences._defaultRole","Default Role"
"_setting._preferences._defaultRoleDesc","Personal setting for debugging"
"_setting._record._title","Recording Events"
"_setting._record._listenEvents","Events"
"_setting._record._moveStep","Mousemove step"
"_setting._record._description","Set which browser events should be captured when using recording function. Settings will only apply to your user. Other users will be unaffected by this change."
"_setting._domFinder._title","Dom Strategy"
"_setting._domFinder._description","The Dom Strategy decides how html document elements are captured in the DOM tree when recording. This setting will affect how a test is represented and therefore if a test can be uniquely replayed.Settings will only apply to your user. Other users will be unaffected by this change."
"_setting._domFinder._catchId","Id"
"_setting._domFinder._catchFirstId","First"
"_setting._domFinder._catchMutilId","Multi"
"_setting._domFinder._ignoreIdFormat","Ignore Id format in regex. (e.g. [0-9])"
"_setting._domFinder._catchClass","Class"
"_setting._domFinder._catchLastLevelClass","Catch last Level Class"
"_setting._domFinder._catch","Catch"
"_setting._domFinder._ignoreClasses","Set Ignoring Classes. (e.g. ng-untouched, ng-valid, ng-dirty, ng-valid-parse)"
"_setting._domFinder._catchAttr","Attribute"
"_setting._domFinder._catchFirstAttr","First"
"_setting._domFinder._catchMutilAttr","Multi"
"_setting._domFinder._catchContains","Contains text"
"_setting._domFinder._autoValidationArea","Dom"
"_setting._domFinder._catchParentClass","Parent Class"
"_setting._domFinder._catchFirstClass","First"
"_setting._domFinder._catchMutilClass","Multi"
"_setting._validationIgnore._title","Validation Ignore"
"_setting._validationIgnore._description","This is the default setting of which elements should be ignored when creating a new validation for the BZ format. Any changes in the action view for each test will override this value. Settings will only apply to your user. Other users will be unaffected by this change."
"_setting._subscription._title","Notifications"
"_setting._subscription._server","Server host"
"_setting._subscription._options","Content of Report"
"_setting._subscription._option","Email  report to"
"_setting._monitorLog._title","Monitor Cucumber Report Content"
"_setting._monitorLog._filterDesc","Filter key words and support Regex (Format: /xxxxx/)"
"_setting._monitorLog._emailContent","Email content"
"_setting._monitorLog._attachScreenshot","Attach screenshot"
"_setting._objectLib._title","Element Definition"
"_setting._objectLib._routes","Routes"
"_setting._objectLib._selectRoute","There are multiple Routes. Please select which one is you want."
"_setting._objectLib._description","This setting identifies user application object elements. There are five types of elements: element, component, operation, status, and business. A user can customize an element keyword or add a new element. 
Note: 
		Key words are case-insensitive. 
		the keyword cannot be duplicated and can not be the same as syntax keywords."
"_setting._objectLib._similarElement","Found similar match in Element Definition"
"_setting._objectLib._identifyCss","Identify CSS for"
"_setting._objectLib._duplicateKey","There are some duplicate keywords in the Object Lib setting! Please modify."
"_setting._objectLib._options.element._title","Element"
"_setting._objectLib._options.element.button","button"
"_setting._objectLib._options.element.link","link"
"_setting._objectLib._options.element.input","input"
"_setting._objectLib._options.element.dropdownList","dropdown list"
"_setting._objectLib._options.element.textarea","textarea"
"_setting._objectLib._options.element.checkbox","checkbox"
"_setting._objectLib._options.element.radio","radio"
"_setting._objectLib._options.element.file","file"
"_setting._objectLib._options.element.mainHeading","main heading"
"_setting._objectLib._options.element.subHeading","sub-heading"
"_setting._objectLib._options.element.panel","panel"
"_setting._objectLib._options.message._title","Message"
"_setting._objectLib._options.message.missData","miss required data"
"_setting._objectLib._options.message.dataType","wrong data type"
"_setting._objectLib._options.message.tooLong","data size too long"
"_setting._objectLib._options.message.tooShort","data size too short"
"_setting._objectLib._options.message.dataFormat","wrong data format"
"_setting._objectLib._options.message.dataLocked","data locked"
"_setting._objectLib._options.message.noResponse","no response from server"
"_setting._objectLib._options.component._title","Component"
"_setting._objectLib._options.component.rangeSlider","Range Slider"
"_setting._objectLib._options.component.dropdownInput","Dropdown input"
"_setting._objectLib._options.component.dragInput","Drag input"
"_setting._objectLib._options.component.checkbox","Checkbox"
"_setting._objectLib._options.component.radio","Radio"
"_setting._objectLib._options.operation._title","Operation"
"_setting._objectLib._options.operation.add","create"
"_setting._objectLib._options.operation.edit","modify"
"_setting._objectLib._options.operation.delete","delete"
"_setting._objectLib._options.operation.attach","attach"
"_setting._objectLib._options.operation.archive","archive"
"_setting._objectLib._options.operation.view","view/details"
"_setting._objectLib._options.operation.enter","enter"
"_setting._objectLib._options.operation.preview","preview"
"_setting._objectLib._options.operation.submit","submit"
"_setting._objectLib._options.operation.execute","execute"
"_setting._objectLib._options.operation.report","report"
"_setting._objectLib._options.operation.confirm","confirm"
"_setting._objectLib._options.operation.close","close"
"_setting._objectLib._options.operation.cancel","cancel"
"_setting._objectLib._options.operation.reset","reset"
"_setting._objectLib._options.operation.search","search"
"_setting._objectLib._options.operation.next","next"
"_setting._objectLib._options.operation.previous","previous"
"_setting._objectLib._options.fun._title","Function"
"_setting._objectLib._options.fun.home","Home"
"_setting._objectLib._options.fun.sign-out","sign out/logout"
"_setting._objectLib._options.fun.sign-in","sign in/login"
"_setting._objectLib._options.fun.sign-up","sign up/register"
"_setting._objectLib._options.fun.forgot-password","forgot password"
"_setting._objectLib._options.fun.change-password","change password"
"_setting._objectLib._options.fun.download","download"
"_setting._objectLib._options.fun.export","export"
"_setting._objectLib._options.fun.import","import"
"_setting._objectLib._options.status._title","Status"
"_setting._objectLib._options.status.active","active"
"_setting._objectLib._options.status.highlight","highlight"
"_setting._objectLib._options.status.required","required"
"_setting._objectLib._options.status.error","error"
"_setting._objectLib._options.status.warning","warning"
"_setting._objectLib._options.status.success","success"
"_setting._objectLib._options.status.waiting","waiting"
"_setting._objectLib._options.business._title","Business Logic Object"
"_setting._objectLib._data","Data"
"_setting._objectLib._relatedFields","Fields"
"_setting._objectLib._dependence","Dependencies"
"_setting._objectLib._moduleDataType","Module Data Type"
"_setting._objectLib._dependenceType.operation","Operation"
"_setting._objectLib._dependenceType.data","Data"
"_setting._objectLib._validFillFormOptions._reopenForm","Reopen form from action"
